,level_0,index,studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
48,3683,3683,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,51.0,,,,,,,,,,,,0.00164173223227589,,0.794598400421532,,4.450080000000001,3.4747199999999996,,0.04572,1.3,1.00584,0.97536,0.17699472,,,,,,0.16098264,,,,,,,,,,,,,,,,
49,3686,3686,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,25.0,,,,,,,,,,,,0.00518868458595838,,2.80480831149713,,4.6634400000000005,1.5544799999999999,,0.08127999999999999,1.3,1.8897599999999999,3.1089599999999997,1.6352280000000001,,,,,,1.44916128,,,,,,,,,,,,,,,,
50,3697,3697,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,192.0,,,,,,,,,,,,0.5857538458367071,,63.929782783593204,,44.01312,17.8308,,0.8636,1.3,9.02208,26.18232,227.2536,,,,,,1092.5364240000001,,,,,,,,,,,,,,,,
51,3714,3714,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,48.0,,,,,,,,,,,,0.00731685599816787,,5.522787229376099,,6.614160000000001,2.10312,,0.09652000000000001,1.3,2.65176,4.51104,1.725948,,,,,,6.679940400000001,,,,,,,,,,,,,,,,
52,3727,3727,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,,45.0,,,,,,,,,,,,0.00980985679532756,,2.12768497302956,,8.62584,2.5908,,0.11175999999999998,1.3,1.64592,6.03504,2.918916,,,,,,2.97194184,,,,,,,,,,,,,,,,
53,3728,3728,Brown1978,northern Rocky Mountains U.S.A.,47.44,-115.7,TempF,,,,,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,1.0,,65.0,,,,,,,,,,,,0.0036938975226207603,,2.12768497302956,,8.62584,5.15112,,0.06858,1.3,1.64592,3.4747199999999996,0.6999048000000001,,,,,,0.66524976,,,,,,,,,,,,,,,,
54,5992,5992,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,TempF,621.0,7.9,,2.1,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,260.75,548.52,,0.258,,,0.0241,,,,,,0.309,,,,32.6,18.0,,0.62724079851614,1.3,,14.6,75.39,,,,,,,,,,,0.000155,0.139586303,,440.0,,370.0,,,,,,
55,5993,5993,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,TempF,621.0,7.9,,2.1,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,123.0,627.68,,0.191,,,0.00629,,,,,,0.233,,,,33.6,23.5,,0.544669453818821,1.3,,10.1,85.41,,,,,,,,,,,0.000156,0.137429524,,400.0,,350.0,,,,,,
56,5994,5994,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,TempF,621.0,7.9,,2.1,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,314.0,593.09,,0.264,,,0.0154,,,,,,0.344,,,,34.1,20.4,,0.6618114560725711,1.3,,13.7,94.95,,,,,,,,,,,0.00016,0.159400061,,460.0,,380.0,,,,,,
57,5995,5995,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,TempF,621.0,7.9,,2.1,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,180.25,415.71,,0.261,,,0.0369,,,,,,0.361,,,,31.7,23.2,,0.6779671641380529,1.3,,8.5,62.74,,,,,,,,,,,0.000145,0.154385513,,420.0,,330.0,,,,,,
58,5996,5996,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,TempF,621.0,7.9,,2.1,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,273.75,575.45,,0.21,,,0.0284,,,,,,0.29100000000000004,,,,33.5,19.92,,0.608697550116585,1.3,,13.58,83.92,,,,,,,,,,,0.000156,0.143859346,,450.0,,320.0,,,,,,
59,5997,5997,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.53,-122.72,TempF,621.0,7.9,,2.1,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,178.75,566.09,,0.251,,,0.0152,,,,,,0.28600000000000003,,,,34.2,21.3,,0.603445531754322,1.3,,12.9,83.06,,,,,,,,,,,0.00015900000000000002,0.154543718,,460.0,,320.0,,,,,,
60,5998,5998,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,261.0,537.15,,0.20800000000000002,,,0.0629,,,,,,0.33799999999999997,,,,32.5,19.9,,0.6560144557252421,1.3,,12.6,75.18,,,,,,,,,,,0.000166,0.140773266,,430.0,,360.0,,,,,,
61,5999,5999,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,244.0,971.55,,0.303,,,0.0241,,,,,,0.381,,,,35.75,23.4,,0.6964942688522979,1.3,,12.35,136.33,,,,,,,,,,,0.000167,0.141665565,,440.0,,370.0,,,,,,
62,6000,6000,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,265.0,817.05,,0.32899999999999996,,,0.067,,,,,,0.45799999999999996,,,,33.4,22.7,,0.7636384690995501,1.3,,10.7,112.67,,,,,,,,,,,0.000172,0.138422241,,470.0,,340.0,,,,,,
63,6001,6001,Domec2012,"eastern side of the Oregon Cascade Range, USA on a private forestland (Crown Pacific Co.)",43.58,-121.68,TempF,645.0,7.7,,2.25,Pinus ponderosa,Pinus ponderosa,Pinaceae,EG,FW,3.0,full,267.0,811.25,,0.24600000000000002,,,0.0761,,,,,,0.35600000000000004,,,,34.2,19.57,,0.673255729961296,1.3,,14.63,102.43,,,,,,,,,,,0.00015900000000000002,0.145465592,,490.0,,310.0,,,,,,
